UID21,Clihome,Sofa bed 80.7-in Modern Gray Linen Sofa,4957051,OF-02SG00-AGR-2,https://mobileimages.lowes.com/productimages/9621ea37-596f-473b-9099-00c7f9d68fe6/45408549.jpg,www.lowes.com/pd/Clihome-Large-Size-Gray-Sofa-Bed-81-in-Sleeper-Sofa-Bed-with-Storage-Two-Cup-Holders-for-Living-Room-Furniture-Set/5013026915,36.2,80.7,31.9,etc
------------#kitchen------------
UID22,CASAINC,Single bowl kitchen sink Undermount 29.84-in x 17.83-in White Fireclay Single Bowl Workstation Kitchen Sink,3726276,YS-FH-SINK-005-WE,https://mobileimages.lowes.com/productimages/90f0bf16-ddd2-4f6e-96ab-e8b5c4eacf36/62964629.jpg,www.lowes.com/pd/CASAINC-White-Ceramic-30-in-Single-Bowl-Farmhouse-Apron-Kitchen-Sink-with-Basin-Rack-and-Strainer-Basket/5001583411,9.0,17.83,29.84,etc
UID23,Project Source,Stainless Steel Double Handle Pull-down Kitchen Faucet with Deck Plate and Soap Dispenser Included,865919,252-K825-PS-SSD,https://mobileimages.lowes.com/productimages/18b2fecf-6da1-4bf1-8995-fea907f0af12/48774278.jpg,www.lowes.com/pd/Project-Source-Stainless-Steel-2-Handle-Deck-Mount-Pull-Down-Handle-Lever-Commercial-Residential-Kitchen-Faucet/1000440553,16.4,-1,-1,etc
UID24,allen + roth,Stonewall 33-in W x 34.5-in H x 24-in D Stone Lazy Susan Corner Base Fully Assembled Cabinet (Flat Panel Shaker Door Style),1216248,24463,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-33-in-W-x-34-5-in-H-x-24-in-D-Stone-Maple-Corner-Base-Semi-Custom-Cabinet/1000653341,34.5,33.0,24.0,etc
UID25,allen + roth,Stonewall 24-in W x 34.5-in H x 24-in D Stone Door and Drawer Base Fully Assembled Cabinet (Flat Panel Shaker Door Style),1216229,20251,https://mobileimages.lowes.com/productimages/b9eb66b1-a6df-4197-bd30-e866eda9c342/63655152.jpg,www.lowes.com/pd/allen-roth-Stonewall-24-in-W-x-34-5-in-H-x-24-in-D-Stone-Maple-Door-and-Drawer-Base-Semi-Custom-Cabinet/1000653069,34.5,24.0,24.0,etc
UID26,allen + roth,Stonewall 24-in W x 34.5-in H x 24-in D Stone Painted Drawer Base Fully AssembLED Cabinet (Flat Panel Door Style),1216263,21240,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-24-in-W-x-34-5-in-H-x-24-in-D-Stone-Maple-Drawer-Base-Semi-Custom-Cabinet/1000653509,34.5,24.0,24.0,etc
UID27,allen + roth,Stonewall 18-in W x 18.125-in H x 12-in D Stone Door Wall Fully Assembled Cabinet (Flat Panel Shaker Door Style),1216310,3182,https://mobileimages.lowes.com/productimages/81cc9079-ae62-4ada-928e-5f7f00d02f94/12190650.jpg,www.lowes.com/pd/allen-roth-Stonewall-18-in-W-x-18-in-H-x-12-in-D-Stone-Maple-Door-Wall-Semi-Custom-Cabinet/1000650387,18.125,18.0,12.0,etc
UID28,Whirlpool,21.4-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint Resistant Black Stainless),912751,WRS321SDHV,https://mobileimages.lowes.com/productimages/a8695ee4-51e5-4d5b-99b3-6dd4bbe80c93/08558425.jpg,www.lowes.com/pd/Whirlpool-21-4-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless/1000332331,66.625,33.0,49.313,etc
UID29,Whirlpool,30-in 4 Burners 5.1-cu ft Freestanding Natural Gas Range (Stainless Steel),634744,WFG320M0BS,https://mobileimages.lowes.com/productimages/4465eed4-f182-4538-8c4a-b02dc1675ba6/47702088.jpg,www.lowes.com/pd/Whirlpool-4-Burners-5-1-cu-ft-Freestanding-Gas-Range-Stainless-Steel-Common-30-in-Actual-29-875-in/50245907,47.126,30.125,27.875,etc
